original	old	match_kind	name_usage	accepted_name_usage	parent_name_usage
Lobelia browniana	:lobelia-browniana	species match	https://id.biodiversity.org.au/instance/apni/662861	https://id.biodiversity.org.au/instance/apni/662861	https://id.biodiversity.org.au/instance/apni/51751975
Lobelia simplicicaulis	:lobelia-simplicicaulis	species match	https://id.biodiversity.org.au/instance/apni/662990	https://id.biodiversity.org.au/instance/apni/662990	https://id.biodiversity.org.au/instance/apni/51751975
Lomandra filiformis subsp coriacea	:lomandra-filiformis-subsp-coriacea	subspecies match	https://id.biodiversity.org.au/instance/apni/612033	https://id.biodiversity.org.au/instance/apni/612033	https://id.biodiversity.org.au/instance/apni/612032
Lotus australis	:lotus-australis	species match	https://id.biodiversity.org.au/instance/apni/51436199	https://id.biodiversity.org.au/instance/apni/51436199	https://id.biodiversity.org.au/instance/apni/51770038
Lucia limbaria	:lucia-limbaria	species match	https://id.biodiversity.org.au/instance/afd/70932688	https://id.biodiversity.org.au/instance/afd/70932688	https://id.biodiversity.org.au/instance/afd/70932687
Luzula densiflora	:luzula-densiflora	species match	https://id.biodiversity.org.au/instance/apni/663210	https://id.biodiversity.org.au/instance/apni/663210	https://id.biodiversity.org.au/instance/apni/662916
Lythrum hyssopifolia	:lythrum-hyssopifolia	species match	https://id.biodiversity.org.au/instance/apni/51299590	https://id.biodiversity.org.au/instance/apni/51299590	https://id.biodiversity.org.au/instance/apni/51775985
Malacorhynchus membranaceus	:malacorhynchus-membranaceus	species match	https://id.biodiversity.org.au/instance/afd/70874001	https://id.biodiversity.org.au/instance/afd/70874001	https://id.biodiversity.org.au/instance/afd/70874000
Manorina melanocephala	:manorina-melanocephala	species match	https://id.biodiversity.org.au/instance/afd/70865868	https://id.biodiversity.org.au/instance/afd/70865868	https://id.biodiversity.org.au/instance/afd/70865857
Maratus vespertilio	:maratus-vespertilio	species match	https://id.biodiversity.org.au/instance/afd/70880577	https://id.biodiversity.org.au/instance/afd/70880577	https://id.biodiversity.org.au/instance/afd/70880014
Megachile lucidiventris	:megachile-lucidiventris	species match	https://id.biodiversity.org.au/instance/afd/70922944	https://id.biodiversity.org.au/instance/afd/70922944	https://id.biodiversity.org.au/instance/afd/70921794
Megalyra sp.	:megalyra-sp	genus match	https://id.biodiversity.org.au/instance/afd/70785062	https://id.biodiversity.org.au/instance/afd/70785062	null
Melanodes anthracitaria	:melanodes-anthracitaria	species match	https://id.biodiversity.org.au/instance/afd/72394733	https://id.biodiversity.org.au/instance/afd/70855541	https://id.biodiversity.org.au/instance/afd/70855493
Microsorum pustulatum subsp pustulatum	:microsorum-pustulatum-subsp-pustulatum	subspecies match	https://id.biodiversity.org.au/instance/apni/51445057	https://id.biodiversity.org.au/instance/apni/51445055	https://id.biodiversity.org.au/instance/apni/51445026
Microtis sp.	:microtis-sp	genus match	https://id.biodiversity.org.au/instance/afd/70916094	https://id.biodiversity.org.au/instance/afd/70916094	null
Mus musculus	:mus-musculus	species match	https://id.biodiversity.org.au/instance/afd/70793957	https://id.biodiversity.org.au/instance/afd/70793957	https://id.biodiversity.org.au/instance/afd/70793956
Myiagra rubecula	:myiagra-rubecula	species match	https://id.biodiversity.org.au/instance/afd/70864148	https://id.biodiversity.org.au/instance/afd/70864148	https://id.biodiversity.org.au/instance/afd/70863899
Nassella neesiana	:nassella-neesiana	species match	https://id.biodiversity.org.au/instance/apni/645300	https://id.biodiversity.org.au/instance/apni/645300	https://id.biodiversity.org.au/instance/apni/647051
