Feature,Geometry
163,POINT (149.1306025 -35.2547113)
164,POINT (149.1263638 -35.3487955)
165,POINT (149.1032275 -35.32803919)
166,POINT (148.9399228 -35.32490089)
167,POINT (148.9937832 -35.85940412)
168,POINT (149.1348394 -35.39626108)
169,POINT (149.1915477 -35.37349741)
170,POINT (149.0355037 -35.25830425)
171,POINT (149.1130175 -35.24468282)
172,POINT (149.010074 -35.298683)
173,POINT (149.1014344 -35.46470604)
174,POINT (149.0883132 -35.24650641)
175,POINT (149.0911595 -35.23138852)
176,POINT (149.033885 -35.381629)
177,POINT (148.8921445 -35.4872181)
178,POINT (149.1870806 -35.2911024)
179,POINT (149.0785144 -35.21625429)
180,POINT (148.9497112 -35.73852317)
181,POINT (148.9953037 -35.23234632)
182,POINT (149.1903669 -35.28820325)
183,POINT (148.9739232 -35.7577032)
184,POINT (149.1050611 -35.3267733)
185,POINT (149.1777604 -35.2484203)
186,POINT (149.0223395 -35.34989983)
187,POINT (149.1478965 -35.2508243)
188,POINT (148.943303 -35.32292054)
189,POINT (149.1750054 -35.27498726)
190,POINT (149.0200967 -35.21641333)
191,POINT (149.18851 -35.329567)
192,POINT (148.9647099 -35.31110277)
193,POINT (149.0188056 -35.35768716)
194,POINT (148.924801 -35.611247)
195,POINT (149.0972555 -35.32458519)
196,POINT (149.0379695 -35.38732915)
197,POINT (148.833364 -35.44011497)
198,POINT (149.0651456 -35.22147233)
199,POINT (149.114478 -35.241098)
200,POINT (149.0141548 -35.2030534)
201,POINT (149.1086724 -35.44882003)
202,POINT (149.0270447 -35.20027835)
203,POINT (149.033806 -35.262728)
204,POINT (149.0781675 -35.5292841)
205,POINT (149.1266455 -35.13125744)
206,POINT (149.0820095 -35.42091512)
207,POINT (149.01083 -35.25437828)
208,POINT (149.1553773 -35.23410257)
209,POINT (149.0819566 -35.26477927)
210,POINT (149.0570055 -35.41698714)
211,POINT (149.037814 -35.377845)
212,POINT (148.908106 -35.465587)
213,POINT (149.1216724 -35.46804302)
214,POINT (149.1155924 -35.47588203)
215,POINT (149.0532922 -35.1678225)
216,POINT (149.1519054 -35.14448441)
217,POINT (148.9478298 -35.2951485)
218,POINT (149.001572 -35.827816)
219,POINT (149.1193864 -35.39387152)
220,POINT (149.273436 -35.72648299)
221,POINT (148.9578611 -35.53954545)
222,POINT (148.7915402 -35.41080829)
223,POINT (148.9928936 -35.56379512)
224,POINT (149.0760715 -35.45296708)
225,POINT (149.0284087 -35.21260934)
226,POINT (148.8899938 -35.27376529)
227,POINT (149.0763945 -35.45054308)
228,POINT (149.1849194 -35.17865138)
229,POINT (148.8279608 -35.3919993)
230,POINT (149.120593 -35.21561441)
231,POINT (149.0961615 -35.32675219)
232,POINT (149.07195 -35.429464)
233,POINT (149.1356405 -35.35647417)
234,POINT (149.0442867 -35.21870635)
235,POINT (148.784536 -35.575301)
236,POINT (149.0360577 -35.24317228)
237,POINT (149.0529837 -35.20881436)
238,POINT (149.0302779 -35.22814843)
239,POINT (149.1030055 -35.19498737)
240,POINT (149.0256973 -35.26827335)
241,POINT (149.1669495 -35.3183202)
242,POINT (149.1219951 -35.35542231)
243,POINT (149.0883386 -35.21443135)
244,POINT (149.0967915 -35.26974027)
245,POINT (148.9048945 -35.5214041)
246,POINT (149.0437743 -35.29528662)
247,POINT (149.109271 -35.278745)
248,POINT (149.1792294 -35.22830531)
249,POINT (149.0381026 -35.35977685)
250,POINT (149.1022554 -35.47252605)
251,POINT (149.2464053 -35.37238699)
252,POINT (148.8376858 -35.36326728)
253,POINT (148.7692044 -35.47459675)
254,POINT (149.0407617 -35.21414835)
255,POINT (149.1783077 -35.16460138)
256,POINT (148.910676 -35.612177)
257,POINT (149.1327855 -35.28843724)
258,POINT (149.0737706 -35.2419953)
259,POINT (148.9130618 -35.28609828)
260,POINT (149.1060065 -35.38830714)
261,POINT (149.1773874 -35.2493903)
262,POINT (149.169609 -35.226178)
263,POINT (148.7794957 -35.52637613)
264,POINT (149.0029257 -35.29687722)
265,POINT (149.1109801 -35.21898733)
266,POINT (149.0763085 -35.44716508)
267,POINT (149.0627971 -35.28314483)
268,POINT (149.1377835 -35.30359822)
269,POINT (149.001325 -35.787858)
270,POINT (149.1539584 -35.19792636)
271,POINT (149.1458384 -35.31248721)
272,POINT (149.2028733 -35.54078189)
273,POINT (149.0466417 -35.29824014)
274,POINT (149.2465562 -35.37228843)
275,POINT (149.1749496 -35.37743224)
276,POINT (149.0354036 -35.26364924)
277,POINT (149.2129433 -35.40872791)
278,POINT (149.1670948 -35.37402878)
279,POINT (149.0338696 -35.26401324)
280,POINT (149.1862929 -35.37169054)
281,POINT (149.2553027 -35.43854442)
282,POINT (149.1622275 -35.31470921)
283,POINT (149.0923715 -35.32776619)
284,POINT (148.891972 -35.659434)
285,POINT (149.0092362 -35.27435668)
286,POINT (149.0710076 -35.25778027)
287,POINT (149.164467 -35.166268)
288,POINT (149.0761166 -35.26637626)
289,POINT (149.1156455 -35.33378818)
290,POINT (149.0218796 -35.3046472)
291,POINT (149.0210177 -35.21648033)
292,POINT (148.9135205 -35.51899211)
293,POINT (149.256709 -35.325427)
294,POINT (149.1356545 -35.28923324)
295,POINT (149.1774054 -35.2487573)
296,POINT (149.1338645 -35.33480518)
297,POINT (149.1784044 -35.2487273)
298,POINT (149.0446264 -35.2185084)
299,POINT (149.1166725 -35.37109815)
300,POINT (149.1546809 -35.15245714)
301,POINT (148.9711042 -35.74907919)
302,POINT (149.185316 -35.16680998)
303,POINT (149.0523773 -35.31808419)
304,POINT (149.1496165 -35.29300669)
305,POINT (149.2144634 -35.35903909)
306,POINT (148.7708268 -35.54849813)
307,POINT (149.1622274 -35.16554338)
308,POINT (149.013255 -35.393665)
309,POINT (149.0837756 -35.25151829)
310,POINT (149.0336357 -35.20759835)
311,POINT (149.1609888 -35.21907373)
312,POINT (149.0402717 -35.20963136)
313,POINT (149.0891606 -35.26847827)
314,POINT (148.9405578 -35.31472722)
315,POINT (149.0494167 -35.30014038)
